pond,clutch,indiv1,indiv2,indiv3,indiv4,Pond.order,Clutch.order,Trial.order
DE,1,D,A,C,B,1,1,1
CPS,3,C,A,B,D,2,1,2
MI,3,B,D,C,A,3,1,3
PB,6,A,C,B,D,4,1,4
BO,5,C,D,A,B,5,1,5
E1,2,C,D,A,,6,1,6
LO,6,B,C,A,D,7,1,7
GB,4,B,D,A,C,8,1,8
BS,1,A,D,B,C,9,1,9
BS,4,C,A,B,,9,1,10
DT,4,C,A,B,D,10,1,11
DE,4,C,D,A,B,1,2,12
CPS,1,A,D,B,,2,2,13
MI,6,C,B,A,,3,2,14
PB,5,B,A,,,4,2,15
BO,1,A,B,C,D,5,2,16
E1,5,B,C,D,A,6,2,17
LO,5,B,A,C,D,7,2,18
GB,5,C,A,,,8,2,19
BS,2,A,C,B,D,9,2,20
DT,2,B,D,,,10,2,21
DE,2,D,C,B,A,1,3,22
CPS,6,B,D,A,,2,3,23
MI,2,B,C,D,A,3,3,24
PB,2,C,D,B,A,4,3,25
BO,3,B,D,C,A,5,3,26
E1,4,A,C,B,D,6,3,27
LO,4,C,A,,,7,3,28
GB,2,B,C,,,8,3,29
BS,3,D,B,C,,9,3,30
DT,6,C,A,B,D,10,3,31
DE,5,C,D,A,B,1,4,32
CPS,4,D,A,,,2,4,33
MI,5,D,B,C,A,3,4,34
PB,4,A,B,D,C,4,4,35
BO,4,B,C,D,,5,4,36
E1,3,C,D,B,A,6,4,37
LO,3,D,B,C,A,7,4,38
GB,1,A,D,,,8,4,39
BS,5,D,C,A,B,9,4,40
DT,5,B,C,D,A,10,4,41
DE,3,A,D,B,C,1,5,42
CPS,5,A,C,B,D,2,5,43
MI,1,B,C,A,D,3,5,44
PB,1,C,D,A,,4,5,45
BO,2,B,C,A,,5,5,46
E1,1,B,D,A,C,6,5,47
LO,2,B,A,C,D,7,5,48
GB,6,B,A,C,D,8,5,49
DT,3,A,B,D,C,10,5,50
